
--Message-- Time(ms): 47877, ID: 54, Data: 5E 62 2A 00 00 00 00 00
--Message-- Time(ms): 48886, ID: 192, Data: 00 00 00 00 01 00 00 00
--Message-- Time(ms): 49891, ID: 192, Data: 00 00 00 00 01 00 00 00
--Message-- Time(ms): 50896, ID: 192, Data: 00 00 00 00 01 00 00 00
--Message-- Time(ms): 51901, ID: 192, Data: 00 00 00 00 01 00 00 00
--Message-- Time(ms): 54902, ID: 53, Data: 5A 62 C9 01 FF FF FF FF
--Message-- Time(ms): 55906, ID: 192, Data: 00 00 00 00 01 00 00 00
--Message-- Time(ms): 56911, ID: 192, Data: 00 00 00 00 01 00 00 00
--Message-- Time(ms): 57916, ID: 192, Data: 00 00 00 00 01 00 00 00
--Message-- Time(ms): 58921, ID: 192, Data: 00 00 00 00 01 00 00 00
--Message-- Time(ms): 59924, ID: 54, Data: 59 62 28 00 00 00 00 00
--Message-- Time(ms): 60931, ID: 192, Data: 00 00 00 00 01 00 00 00
--Message-- Time(ms): 61936, ID: 192, Data: 00 00 00 00 01 00 00 00
--Message-- Time(ms): 62941, ID: 192, Data: 00 00 00 00 01 00 00 00
--Message-- Time(ms): 63946, ID: 192, Data: 00 00 00 00 01 00 00 00
--Message-- Time(ms): 64944, ID: 16, Data: 49 00 00 00 00 00 00 00
--Message-- Time(ms): 65956, ID: 192, Data: 00 00 00 00 01 00 00 00
--Message-- Time(ms): 66961, ID: 192, Data: 00 00 00 00 01 00 00 00
--Message-- Time(ms): 67966, ID: 192, Data: 00 00 00 00 01 00 00 00
--Message-- Time(ms): 70476, ID: 192, Data: 00 00 00 00 01 00 00 00
--Message-- Time(ms): 70476, ID: 9, Data: 00 00 00 00 00 00 00 00
--Message-- Time(ms): 70971, ID: 192, Data: 00 00 00 00 01 00 00 00
--Message-- Time(ms): 71973, ID: 16, Data: 49 00 00 00 00 00 00 00
--Message-- Time(ms): 72981, ID: 192, Data: 00 00 00 00 01 00 00 00
--Message-- Time(ms): 73986, ID: 192, Data: 00 00 00 00 01 00 00 00
--Message-- Time(ms): 74991, ID: 192, Data: 00 00 00 00 01 00 00 00
--Message-- Time(ms): 75996, ID: 192, Data: 00 00 00 00 01 00 00 00
--Message-- Time(ms): 76993, ID: 16, Data: 49 00 00 00 00 00 00 00
--Message-- Time(ms): 78006, ID: 192, Data: 00 00 00 00 01 00 00 00
--Message-- Time(ms): 79011, ID: 192, Data: 00 00 00 00 01 00 00 00
--Message-- Time(ms): 80002, ID: 53, Data: 5A 62 E1 01 FF FF FF FF
--Message-- Time(ms): 81006, ID: 192, Data: 00 00 00 00 01 00 00 00
--Message-- Time(ms): 82011, ID: 192, Data: 00 00 00 00 01 00 00 00
--Message-- Time(ms): 83016, ID: 192, Data: 00 00 00 00 01 00 00 00
--Message-- Time(ms): 84019, ID: 54, Data: 5A 62 29 00 00 00 00 1F
--Message-- Time(ms): 85026, ID: 192, Data: 00 00 00 00 01 00 00 00
--Message-- Time(ms): 86031, ID: 192, Data: 00 00 00 00 01 00 00 00
--Message-- Time(ms): 87036, ID: 192, Data: 00 00 00 00 01 00 00 00
--Message-- Time(ms): 88041, ID: 192, Data: 00 00 00 00 01 00 00 00
--Message-- Time(ms): 89040, ID: 16, Data: 49 00 00 00 00 00 00 00
--Message-- Time(ms): 90051, ID: 192, Data: 00 00 00 00 01 00 00 00
--Message-- Time(ms): 91056, ID: 192, Data: 00 00 00 00 01 00 00 00
--Message-- Time(ms): 92061, ID: 192, Data: 00 00 00 00 01 00 00 00
--Message-- Time(ms): 93066, ID: 192, Data: 00 00 00 00 01 00 00 00
--Message-- Time(ms): 94064, ID: 16, Data: 49 00 00 00 00 00 00 00
--Message-- Time(ms): 95062, ID: 53, Data: 58 62 F4 01 FF FF FF FF
--Message-- Time(ms): 96066, ID: 54, Data: 5A 62 2A 00 00 00 00 1F
--Message-- Time(ms): 97071, ID: 192, Data: 00 00 00 00 01 00 00 00
--Message-- Time(ms): 98076, ID: 192, Data: 00 00 00 00 01 00 00 00
--Message-- Time(ms): 99081, ID: 192, Data: 00 00 00 00 01 00 00 00
--Message-- Time(ms): 100086, ID: 192, Data: 00 00 00 00 01 00 00 00
--Message-- Time(ms): 101086, ID: 16, Data: 49 00 00 00 00 00 00 00
--Message-- Time(ms): 102096, ID: 192, Data: 00 00 00 00 01 00 00 00
--Message-- Time(ms): 103101, ID: 192, Data: 00 00 00 00 01 00 00 00
--Message-- Time(ms): 104106, ID: 192, Data: 00 00 00 00 01 00 00 00
--Message-- Time(ms): 105111, ID: 192, Data: 00 00 00 00 01 00 00 00
--Message-- Time(ms): 106111, ID: 16, Data: 49 00 00 00 00 00 00 00
